source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__verifier_uncertainty,21,12,0.01,0.21230086583466165,0.11316553471250976,0.014825342910854786,3,3,False,-0.233585-0.621295j|-0.233585+0.621295j|0.665903,nan
reproduction,20260718__verifier_uncertainty,21,12,0.02,0.21230086583466165,0.11316553471250976,0.014825342910854786,1,1,False,-0.129473,nan
reproduction,20260718__verifier_uncertainty,21,12,0.03,0.21230086583466165,0.11316553471250976,0.014825342910854786,1,1,False,-0.129473,nan
reproduction,20260718__verifier_uncertainty,21,14,0.005,0.21776481424824357,0.11835106502790729,0.019740817935362864,4+,4,False,-0.239134-0.196116j|-0.239134+0.196116j|0.261608-0.293845j|0.261608+0.293845j,nan
reproduction,20260718__verifier_uncertainty,21,14,0.01,0.21776481424824357,0.11835106502790729,0.019740817935362864,3,3,False,-0.2345-0.621899j|-0.2345+0.621899j|0.665255,nan
reproduction,20260718__verifier_uncertainty,21,14,0.02,0.21776481424824357,0.11835106502790729,0.019740817935362864,1,1,False,-0.129523,nan
reproduction,20260718__verifier_uncertainty,21,14,0.03,0.21776481424824357,0.11835106502790729,0.019740817935362864,1,1,False,-0.129523,nan
reproduction,20260718__verifier_uncertainty,21,15,0.005,0.22233593538632712,0.12304213962757818,0.02482236294565911,4+,4,False,-0.218804-0.129962j|-0.218804+0.129962j|0.232737-0.279544j|0.232737+0.279544j,nan
reproduction,20260718__verifier_uncertainty,21,15,0.01,0.22233593538632712,0.12304213962757818,0.02482236294565911,3,3,False,-0.23594-0.620955j|-0.23594+0.620955j|0.665646,nan
reproduction,20260718__verifier_uncertainty,21,15,0.02,0.22233593538632712,0.12304213962757818,0.02482236294565911,1,1,False,-0.129483,nan
reproduction,20260718__verifier_uncertainty,21,15,0.03,0.22233593538632712,0.12304213962757818,0.02482236294565911,1,1,False,-0.129483,nan
reproduction,20260718__verifier_uncertainty,21,16,0.005,0.2268540218148485,0.12793771635215231,0.029845650618458494,4+,4,False,-0.169347-0.0827033j|-0.169347+0.0827033j|0.1796-0.230849j|0.1796+0.230849j,nan
reproduction,20260718__verifier_uncertainty,21,16,0.01,0.2268540218148485,0.12793771635215231,0.029845650618458494,3,3,False,-0.237755-0.62034j|-0.237755+0.62034j|0.666216,nan
reproduction,20260718__verifier_uncertainty,21,16,0.02,0.2268540218148485,0.12793771635215231,0.029845650618458494,1,1,False,-0.129931,nan
reproduction,20260718__verifier_uncertainty,21,16,0.03,0.2268540218148485,0.12793771635215231,0.029845650618458494,1,1,False,-0.129931,nan
reproduction,20260718__uncertainty_gap,21,10,0.005,0.05475911316229519,0.02370338813160698,0.002394064434686344,3,3,False,-0.506624|0.325557-0.434148j|0.325557+0.434148j,nan
reproduction,20260718__uncertainty_gap,21,10,0.01,0.05475911316229519,0.02370338813160698,0.002394064434686344,1,1,False,-0.0999142,nan
reproduction,20260718__uncertainty_gap,21,10,0.02,0.05475911316229519,0.02370338813160698,0.002394064434686344,1,1,False,-0.0999142,nan
reproduction,20260718__uncertainty_gap,21,10,0.03,0.05475911316229519,0.02370338813160698,0.002394064434686344,1,1,False,-0.0999142,nan
reproduction,20260718__uncertainty_gap,21,12,0.005,0.056917031025237916,0.02552230308151027,0.004259227022185938,3,3,False,-0.499112|0.320149-0.444955j|0.320149+0.444955j,nan
