source,group,window_start,window_end,window_midpoint,relative_midpoint,shared_difference_mode,solver_difference_mode,verifier_difference_mode,gap_difference_mode,shared_relative_residual_energy
reproduction,20260719,0.5,3.5,2.0,0.2,-0.30706615539585785,0.08229806722218473,-0.42467597335046103,-0.30562716057366185,0.9272035949425985
reproduction,20260719,1.0,4.0,2.5,0.25,-0.1928149112660004,0.1655786300781231,-0.2544775321889576,-0.19772780030599957,0.8776684188304471
reproduction,20260719,1.5,4.5,3.0,0.3,-0.018961705836896908,0.4530485999734394,0.005779357977157028,-0.0580598641098821,0.9995392631938602
reproduction,20260719,2.0,5.0,3.5,0.35,-0.018967818676458,-0.26229782053430795,-0.006868338263181793,-0.022267887979458813,0.999645406684151
reproduction,20260719,2.5,5.5,4.0,0.4,-0.02782688895162516,-0.4388377158462086,-0.00786379502822468,-0.029749851979874165,0.9992269741054008
reproduction,20260719,3.0,6.0,4.5,0.45,-0.0050415182563090825,-0.4245442776440418,0.022530229027186557,-0.012608301879127898,0.9994260389649037
reproduction,20260719,3.5,6.5,5.0,0.5,-0.46902380247105685,-0.44100351836982987,0.28660525328107606,-0.5175089632828886,0.800340194030922
reproduction,20260719,4.0,7.0,5.5,0.55,-0.49735506144859837,-0.436807222632899,-0.1791821186252285,-0.573207483925324,0.7471167077332207
reproduction,20260719,4.5,7.5,6.0,0.6,-0.21320844838496653,-0.10583134083700697,-0.25674644715622136,-0.28659629333783154,0.8459239928482924
reproduction,20260719,5.0,8.0,6.5,0.65,-0.04493549907237476,0.5059627161044123,-0.1640786542824313,-0.3231489733813097,0.9976296855513004
reproduction,20260719,5.5,8.5,7.0,0.7,-0.011369223523725732,0.5791547214845602,-0.13183773131626866,-0.31673271517428453,0.9998932143240725
reproduction,20260719,6.0,9.0,7.5,0.75,0.09221388837809694,0.6772770109563537,-0.1801877975421075,-0.043148715800980446,0.9888726013153323
reproduction,20260719,6.5,9.5,8.0,0.8,0.3640438676504999,0.5073423731691162,-0.08981979730640087,0.4341780553980518,0.8248964504260992
reproduction,20260719,7.0,10.0,8.5,0.85,-5.620826901090334,-1.4277905457876814,-17.199862146122918,-0.4010456907758241,0.9602194029000402
reproduction,20260720,0.0,3.0,1.5,0.15,-0.006769251319618788,0.24426047010983726,-0.41614949973571697,-0.03884792110172395,0.999953793723275
reproduction,20260720,0.5,3.5,2.0,0.2,0.016614015869591593,0.16266958064008882,-0.2447270496511442,0.00012844178812224092,0.9963045832152082
reproduction,20260720,1.0,4.0,2.5,0.25,-0.4416862421710522,-1.7325910785370056,-1.1191033296536097,0.7544210505199295,0.9980200984012243
reproduction,20260720,1.5,4.5,3.0,0.3,-0.01168977498981197,-0.009977534790054487,-0.01184342129977414,-0.017784532923438744,0.9998632418000699
reproduction,20260720,2.0,5.0,3.5,0.35,-0.010004987035076547,-0.01246033863026338,0.014701809515730722,-0.02234373736510019,0.9999146311050588
reproduction,20260720,2.5,5.5,4.0,0.4,-0.24610592381642174,-0.23746856760661314,-0.40692741325892906,-0.08672551109945612,0.9559723236892916
reproduction,20260720,3.0,6.0,4.5,0.45,-0.22565952239700984,-0.22852074677851486,-0.24972409814847724,-0.17251194484903942,0.9498797990539132
reproduction,20260720,3.5,6.5,5.0,0.5,-0.22015984143734427,-0.22431721546106112,-0.23672344881766166,-0.17552914199456404,0.8772426472894225
reproduction,20260720,4.0,7.0,5.5,0.55,-0.5495687962592849,-0.5876799618007011,-0.43959682615118445,-0.6702771890435444,0.7247797816343805
reproduction,20260720,4.5,7.5,6.0,0.6,-0.5976755389403908,-0.6119197559812509,-0.4596067318146772,-0.8344805851888301,0.5810799912208514
reproduction,20260720,5.0,8.0,6.5,0.65,-0.35000924806063377,-0.3065667371277314,-0.013726367241566397,-0.8001387702009627,0.6686084535772682
reproduction,20260720,5.5,8.5,7.0,0.7,-0.6008047314368907,-0.6332785364348158,-0.40727876598511276,-0.5994799357545626,0.5919938489081008
reproduction,20260720,6.0,9.0,7.5,0.75,-0.677250014933456,-0.7264325147973116,-0.41542470512094654,-0.6768421434356046,0.6170232211860041
reproduction,20260720,6.5,9.5,8.0,0.8,-0.5229522107555891,-0.9113966662323658,-0.5926097995262918,-0.29564068224583573,0.8886256456893515
reproduction,20260720,7.0,10.0,8.5,0.85,-0.08942188895634764,-0.4739165312098277,-0.005326194005763495,0.01550551330099381,0.9908181573810487
