source,series,truth,checkpoint_count,train_count,heldout_count,train_fraction,model,winner,train_sse,heldout_mse,heldout_nrmse,mse_ratio_to_persistence,parameters
synthetic_1pct,rank_two_140,rank_2,21,15,6,0.7142857142857143,rank_2,False,0.0009446112594573286,0.0003397839360741045,0.01878425598047936,1.538436753545383,"{""amplitudes"": [0.5599118146859223, 0.4558723201885603], ""endpoint"": 0.180821585723758, ""modes"": [0.3, 0.85]}"
synthetic_1pct,rank_two_140,rank_2,21,16,5,0.7619047619047619,persistence,True,1.4913710999499752,0.00028404099812727647,0.017174460025846036,1.0,"{""last_value"": 0.22431835527497218}"
synthetic_1pct,rank_two_140,rank_2,21,16,5,0.7619047619047619,local_linear,False,0.9127106307278984,0.0012084079537704254,0.035424143951074745,4.254343428354991,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.21937045004774866, ""slope"": -0.00987712699381234, ""validation_mse"": 0.00028389117899041834}"
synthetic_1pct,rank_two_140,rank_2,21,16,5,0.7619047619047619,power_law,False,0.0011135800793870398,0.0006379983550030627,0.025739633329065474,2.246148827835532,"{""amplitude"": 0.9418577474166098, ""endpoint"": -0.05419353359807089, ""endpoint_constrained"": true, ""power"": 0.4498984452568378, ""time_shift"": 0.5286653611361815}"
synthetic_1pct,rank_two_140,rank_2,21,16,5,0.7619047619047619,rank_1,False,0.021444907248113765,0.0026536072237734916,0.05249414866257407,9.342338751306208,"{""amplitudes"": [0.8939274646481723], ""endpoint"": 0.26724964293193754, ""modes"": [0.6]}"
synthetic_1pct,rank_two_140,rank_2,21,16,5,0.7619047619047619,rank_2,False,0.0009559272260912799,0.00038941735083756216,0.020109451517792986,1.3709899394935108,"{""amplitudes"": [0.5607830627219209, 0.45438812305497045], ""endpoint"": 0.18154594260871368, ""modes"": [0.3, 0.85]}"
synthetic_1pct,rank_two_141,rank_2,21,10,11,0.47619047619047616,persistence,False,1.1676156019246884,0.012809037685283315,0.14023637477676984,1.0,"{""last_value"": 0.14070396227285462}"
synthetic_1pct,rank_two_141,rank_2,21,10,11,0.47619047619047616,local_linear,False,0.3830966775141685,0.011025711636986145,0.13010852086173164,0.8607759542821123,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.13512607919478625, ""slope"": -0.03104614084033183, ""validation_mse"": 0.0017035442837721796}"
synthetic_1pct,rank_two_141,rank_2,21,10,11,0.47619047619047616,power_law,True,0.00034536698077233726,0.00011894898028354887,0.013513964891802416,0.009286332291785169,"{""amplitude"": 1.5562978601045168, ""endpoint"": -0.5424748653554806, ""endpoint_constrained"": true, ""power"": 0.3554990327560893, ""time_shift"": 1.1269364513230413}"
synthetic_1pct,rank_two_141,rank_2,21,10,11,0.47619047619047616,rank_1,False,0.003935663077151652,0.010452135592624638,0.12667909211720785,0.8159969428954521,"{""amplitudes"": [0.7966978628670484], ""endpoint"": 0.12473079423135616, ""modes"": [0.7]}"
synthetic_1pct,rank_two_141,rank_2,21,10,11,0.47619047619047616,rank_2,False,0.00019826072168616093,0.0009773637662402143,0.038737406578942424,0.07630266927569901,"{""amplitudes"": [0.43339888576401586, 0.7176169358213689], ""endpoint"": -0.2033433284025663, ""modes"": [0.45, 0.92]}"
synthetic_1pct,rank_two_141,rank_2,21,12,9,0.5714285714285714,persistence,False,1.4436148453001396,0.005527017122763754,0.08660380310579456,1.0,"{""last_value"": 0.08931160993079493}"
synthetic_1pct,rank_two_141,rank_2,21,12,9,0.5714285714285714,local_linear,False,0.48763740272697376,0.0044566652081834265,0.07776721820349305,0.8063418493543746,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.09018774581102483, ""slope"": -0.024884936045968375, ""validation_mse"": 0.00041047249514841684}"
synthetic_1pct,rank_two_141,rank_2,21,12,9,0.5714285714285714,power_law,True,0.0003833809905271421,0.00010058754699251441,0.011683249937581089,0.018199246493775644,"{""amplitude"": 1.6748658822753617, ""endpoint"": -0.7391435472117902, ""endpoint_constrained"": true, ""power"": 0.2809068660336613, ""time_shift"": 0.9686250859269974}"
synthetic_1pct,rank_two_141,rank_2,21,12,9,0.5714285714285714,rank_1,False,0.006530346668288001,0.009912099362275637,0.11597767077999278,1.7933903843810335,"{""amplitudes"": [0.8160266475287323], ""endpoint"": 0.11263406283496395, ""modes"": [0.7]}"
synthetic_1pct,rank_two_141,rank_2,21,12,9,0.5714285714285714,rank_2,False,0.000247253038125006,0.0008418972274839314,0.03380034231285207,0.15232397671002565,"{""amplitudes"": [0.438567552415457, 0.7035017033025543], ""endpoint"": -0.19365747380741527, ""modes"": [0.45, 0.92]}"
synthetic_1pct,rank_two_141,rank_2,21,14,7,0.6666666666666666,persistence,False,1.7043517120316642,0.001950033814285652,0.04911673362850856,1.0,"{""last_value"": 0.04868259541760486}"
synthetic_1pct,rank_two_141,rank_2,21,14,7,0.6666666666666666,local_linear,False,0.5823586098848921,0.00307147432069538,0.06164272808535715,1.5750877231936438,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.046258162048734904, ""slope"": -0.02151895846507691, ""validation_mse"": 0.00016797713312660838}"
synthetic_1pct,rank_two_141,rank_2,21,14,7,0.6666666666666666,power_law,True,0.0004817679314357678,0.00021250638942601718,0.016214158073290175,0.10897574589174742,"{""amplitude"": 1.7760650974600574, ""endpoint"": -0.841990636133173, ""endpoint_constrained"": true, ""power"": 0.2596990324225419, ""time_shift"": 0.9686250859269974}"
synthetic_1pct,rank_two_141,rank_2,21,14,7,0.6666666666666666,rank_1,False,0.01335223943182351,0.008479133523474666,0.10241985191450938,4.348198201156037,"{""amplitudes"": [0.8413037224087053], ""endpoint"": 0.09720104380422653, ""modes"": [0.7]}"
synthetic_1pct,rank_two_141,rank_2,21,14,7,0.6666666666666666,rank_2,False,0.00026677350043291526,0.0010195817925444616,0.035515623393170395,0.522853391092317,"{""amplitudes"": [0.4396388909955544, 0.7010415984699514], ""endpoint"": -0.1920873308194359, ""modes"": [0.45, 0.92]}"
synthetic_1pct,rank_two_141,rank_2,21,15,6,0.7142857142857143,persistence,False,1.8006494717358257,0.0012556938970874887,0.038829732813576066,1.0,"{""last_value"": 0.03515488661605376}"
