replicate,arm,round,entropy,coverage,unique_fraction,quality,population_fraction
8,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
8,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
9,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
10,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
11,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
12,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
13,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
14,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,raw_replace,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,anchored,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,verified,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
15,guided,0,0.8647869792568111,1.0,0.875,0.8698934896284056,1.0
0,raw_replace,1,0.8342671343453217,1.0,0.7916666666666666,0.8129669005059942,1.0
0,anchored,1,0.8904434356633804,1.0,0.875,0.8827217178316902,1.0
0,verified,1,0.861960164094796,1.0,0.7916666666666666,0.8268134153807314,1.0
0,guided,1,0.964840852554576,1.0,1.0,0.982420426277288,1.0
1,raw_replace,1,0.8009731539669487,1.0,0.7916666666666666,0.7963199103168077,1.0
1,anchored,1,0.9413368895438066,1.0,1.0,0.9706684447719033,1.0
1,verified,1,0.9626257826097717,1.0,1.0,0.9813128913048859,1.0
1,guided,1,0.9310878788207886,0.9375,1.0,0.9655439394103943,1.0
2,raw_replace,1,0.8870847873989303,1.0,1.0,0.9435423936994651,1.0
2,anchored,1,0.8732745894530372,1.0,0.7916666666666666,0.832470628059852,1.0
2,verified,1,0.9022989611771103,1.0,1.0,0.9511494805885552,1.0
2,guided,1,0.9704891940906413,1.0,1.0,0.9852445970453206,1.0
