problem_id,tag,replicate,rho,round,population_size,mean_accuracy,mean_fitness,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,fitness_regressions,fitness_improvements,candidate_ids
69,MECHANICS,0,2.0,6,4,0.0,0.0159090909090909,0,1.0,4.0,0.0,0,0,0,0,control-restart-20260719-8145cccf80174ae1|control-restart-20260719-0aa72475eecb4f9e|control-restart-20260719-94bfe7095b6b4932|control-restart-20260719-015a80942857493e
103,THERMODYNAMICS,0,-6.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-017b88026d444b8b|control-restart-20260719-da7c67c03ecc4ba2|control-restart-20260719-da7c67c03ecc4ba2|control-restart-20260719-57ae19b6bcb44bd0
103,THERMODYNAMICS,0,0.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-7a89901f3ef5404f|control-restart-20260719-70c38b87626e45f9|control-restart-20260719-40c8ebff55934ad4|control-restart-20260719-40c8ebff55934ad4
103,THERMODYNAMICS,0,2.0,6,4,0.0,0.0,0,1.0,4.0,0.0,0,0,0,0,control-restart-20260719-1e026639369f4324|control-restart-20260719-bc72971c562a43ef|control-restart-20260719-f96be43201af48f1|control-restart-20260719-d63490312d90499a
478,ELECTRICITY,0,-6.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-290aea6c9cb943b5|control-restart-20260719-c7525faa3ef84baa|control-restart-20260719-eb965f6362174f06|control-restart-20260719-c7525faa3ef84baa
478,ELECTRICITY,0,0.0,6,4,0.0,0.0,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-c2ba2d4e77604241|control-restart-20260719-e91e303a57014a3e|control-restart-20260719-c97abf38c8194ed7|control-restart-20260719-e91e303a57014a3e
478,ELECTRICITY,0,2.0,6,4,0.0,0.0,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-252924bae2f74664|control-restart-20260719-252924bae2f74664|control-restart-20260719-154cdd273a894ca0|control-restart-20260719-252924bae2f74664
603,ELECTRICITY,0,-6.0,6,4,0.0,0.09999999999999998,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-3d1a3cdf9dbd4e6a|control-restart-20260719-971d22cdc23c40a6|control-restart-20260719-3d1a3cdf9dbd4e6a|control-restart-20260719-3d1a3cdf9dbd4e6a
603,ELECTRICITY,0,0.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.25,0,0,0,0,control-restart-20260719-73a6b70570504a93|control-restart-20260719-38add8472fe847b8|control-restart-20260719-d5f8a06ee3b34210|control-restart-20260719-38add8472fe847b8
603,ELECTRICITY,0,2.0,6,4,0.0,0.08124999999999999,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-f036333999834ba3|control-restart-20260719-9f321e9ae98f4f7f|control-restart-20260719-9f321e9ae98f4f7f|control-restart-20260719-f036333999834ba3
83,ELECTRICITY,0,-6.0,6,4,0.0,0.43333333333333335,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-3142539d006a4c3f|control-restart-20260719-e66ce8565aa54f23|control-restart-20260719-3142539d006a4c3f|control-restart-20260719-e66ce8565aa54f23
83,ELECTRICITY,0,0.0,6,4,0.0,0.39166666666666666,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-cc2e9745cd464cde|control-restart-20260719-cc2e9745cd464cde|control-restart-20260719-cc2e9745cd464cde|control-restart-20260719-bc9b1ce3c54640f1
83,ELECTRICITY,0,2.0,6,4,0.0,0.43333333333333335,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-e240476932d24b93|control-restart-20260719-75fc349b82994579|control-restart-20260719-75fc349b82994579|control-restart-20260719-c722cde1655647fe
244,THERMODYNAMICS,0,-6.0,6,4,0.0,0.0,0,0.5,2.0,0.0,0,0,0,0,control-restart-20260719-368ed7907acb4fab|control-restart-20260719-fc4d37837d97453c|control-restart-20260719-368ed7907acb4fab|control-restart-20260719-fc4d37837d97453c
244,THERMODYNAMICS,0,0.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-56e97296077f4172|control-restart-20260719-9582cde6361f40ba|control-restart-20260719-a41b35035bcf4543|control-restart-20260719-9582cde6361f40ba
244,THERMODYNAMICS,0,2.0,6,4,1.0,1.0,1,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-b5f17096f1584d9a|control-restart-20260719-9123b7faf6f341b8|control-restart-20260719-9123b7faf6f341b8|control-restart-20260719-9123b7faf6f341b8
