family,regime,window,noise,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
slow,post_lag,48,0.001,143788,0.3568934820708265,0.3569073914373939,0.254913704174,0.831821753678,1.0
slow,post_lag,48,1e-05,143788,0.3569073914373939,0.3569073914373939,0.192200676454,0.831821753678,1.00000000011
slow,post_lag,48,1e-08,143788,0.3569073914373939,0.3569073914373939,0.190966524666,0.831821753678,1.00000000011
slow,post_lag,96,0,143788,0.3569073914373939,0.3569073914373939,0.134204061753,0.999303897632,1.0
slow,post_lag,96,0.001,143788,0.3569073914373939,0.3569073914373939,0.243835401811,0.98795125385,1.0
slow,post_lag,96,1e-05,143788,0.3569073914373939,0.3569073914373939,0.235169422525,0.999303897632,1.0
slow,post_lag,96,1e-08,143788,0.3569073914373939,0.3569073914373939,0.134204131675,0.999303897632,1.0
two_scale,origin,24,0,125536,0.057553211827682894,0.3701089727249554,0.814191611779,0.207957427994,0.453068404853
two_scale,origin,24,0.001,125536,0.0,0.3701089727249554,0.813747375967,0.207957427994,0.453068404853
two_scale,origin,24,1e-05,125536,0.028963803211827684,0.3701089727249554,0.814186529238,0.207957427994,0.453068404853
two_scale,origin,24,1e-08,125536,0.057553211827682894,0.3701089727249554,0.814191606273,0.207957427994,0.453068404853
two_scale,origin,48,0,125536,0.057553211827682894,0.42836317868977825,0.690279408852,0.142628571845,0.419916972448
two_scale,origin,48,0.001,125536,0.0,0.42836317868977825,0.690296212001,0.142628571845,0.419916972448
two_scale,origin,48,1e-05,125536,0.0,0.42836317868977825,0.690279529022,0.142628571845,0.419916972448
two_scale,origin,48,1e-08,125536,0.057553211827682894,0.42836317868977825,0.69027940858,0.142628571845,0.419916972448
two_scale,origin,96,0,125536,0.17109833035941882,0.6569908233494774,0.483628160426,0.0321766031721,0.201821658352
two_scale,origin,96,0.001,125536,0.17109833035941882,0.6528087560540403,0.483634804474,0.0321766031721,0.201821658352
two_scale,origin,96,1e-05,125536,0.17109833035941882,0.6569908233494774,0.483630755287,0.0321766031721,0.201821658352
two_scale,origin,96,1e-08,125536,0.17109833035941882,0.6569908233494774,0.483628162317,0.0321766031721,0.201821658352
two_scale,post_lag,24,0,125536,0.057553211827682894,0.3136391154728524,0.635848857554,0.239231780126,0.437734637035
