worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
5,14782,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,0,0.997880975713,ringing,1,0.971256533026,alternating,0.0266244426872,0,1.01488743351,0,2.22194821741
22,8769,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,1e-08,0.997880975713,ringing,1,0.971256532003,alternating,0.0266244437099,0,1.01488743342,0,2.22194821741
20,9198,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0.001,0.998016916652,ringing,1,0.971352362344,alternating,0.0266645543082,0,1.01488742255,0,2.22281426293
5,14782,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,1e-05,0.997880975713,ringing,1,0.971256415245,alternating,0.0266245604681,0,1.01488693427,0,2.22194821741
12,10520,finite_horizon,13:5453;14:25;15:10906,15,16384,24,15,post_lag,0.001,0.998044076116,ringing,1,0.971344451723,alternating,0.0266996243935,0,1.01488620273,0,2.22298785406
26,15381,finite_horizon,13:5444;14:52;15:10888,15,16384,24,15,post_lag,0.001,0.997799296002,ringing,1,0.97114719572,alternating,0.0266521002822,0,1.01488586554,0,2.22143010797
5,1891,finite_horizon,13:5446;14:46;15:10892,15,16384,24,15,post_lag,0,0.997853758753,ringing,1,0.971221056372,alternating,0.0266327023802,0,1.0148832511,0,2.22177538834
0,1656,finite_horizon,13:5446;14:46;15:10892,15,16384,24,15,post_lag,0,0.997853758753,ringing,1,0.971221056372,alternating,0.0266327023802,0,1.0148832511,0,2.22177538834
0,1656,finite_horizon,13:5446;14:46;15:10892,15,16384,24,15,post_lag,1e-08,0.997853758753,ringing,1,0.971221056408,alternating,0.0266327023443,0,1.01488325109,0,2.22177538834
5,1891,finite_horizon,13:5446;14:46;15:10892,15,16384,24,15,post_lag,1e-08,0.997853758753,ringing,1,0.971221055708,alternating,0.0266327030445,0,1.01488325102,0,2.22177538834
